announcement_id,company,text,timestamp,source,label,credibility_score,market_impact,source_reliability,verification_status
ann_0000,TCS,Board meeting scheduled to consider quarterly results on 2025-09-09,2025-07-15 22:18:50.036510,News Portal,legitimate,0.8284855506406603,High,High,Verified
ann_0001,Bharti Airtel,Dividend of ₹11 per share declared for shareholders,2025-08-11 22:18:50.036529,PR Agency,legitimate,0.8086460460157394,Low,High,Verified
ann_0002,Titan Company,Rights issue approved by board at ₹188 per share,2025-06-30 22:18:50.036542,News Portal,legitimate,0.701491097598648,High,High,Verified
ann_0003,Wipro,Annual general meeting scheduled for 2025-09-17,2025-06-15 22:18:50.036553,Company Website,legitimate,0.7069361592662415,Medium,High,Verified
ann_0004,Reliance Industries,Rights issue approved by board at ₹435 per share,2025-08-22 22:18:50.036564,NSE,legitimate,0.9398292934375174,High,High,Verified
ann_0005,Kotak Mahindra Bank,Company receives regulatory approval for expansion project,2025-06-29 22:18:50.036574,PR Agency,legitimate,0.7360821332540287,Medium,High,Verified
ann_0006,HDFC Bank,Board approves bonus issue in ratio 1:1,2025-08-26 22:18:50.036582,BSE,legitimate,0.8692423898371591,Medium,High,Verified
ann_0007,TCS,Board recommends final dividend of ₹43 per share,2025-06-20 22:18:50.036592,PR Agency,legitimate,0.7358564312641844,Medium,High,Verified
ann_0008,Infosys,BREAKING: Company acquired by Apple for $50 billion deal!,2025-08-10 22:18:50.036601,NSE,fraudulent,0.3105227121975748,Low,Low,Unverified
ann_0009,HDFC,Company signs MoU with IBM for strategic collaboration,2025-07-05 22:18:50.036611,News Portal,legitimate,0.7026587647035586,Low,High,Verified
ann_0010,HUL,Rights issue approved by board at ₹246 per share,2025-07-17 22:18:50.036620,Company Website,legitimate,0.7432577675726899,Low,High,Verified
ann_0011,Asian Paints,Company discovers oil reserves worth ₹1 lakh crore in Rajasthan,2025-08-05 22:18:50.036630,NSE,fraudulent,0.22683274556784488,Medium,Low,Unverified
ann_0012,Wipro,QQ3 results show 15% growth in revenue,2025-08-27 22:18:50.036639,PR Agency,legitimate,0.7290104369301298,High,High,Verified
ann_0013,Wipro,Board approves bonus issue in ratio 1:1,2025-07-28 22:18:50.036648,NSE,legitimate,0.916443374537225,High,High,Verified
ann_0014,Titan Company,QQ4 results show 18% growth in revenue,2025-07-11 22:18:50.036658,PR Agency,legitimate,0.7886998373760548,Medium,High,Verified
ann_0015,HUL,"EXCLUSIVE: Government grants ₹10,000 crore subsidy to company",2025-07-25 22:18:50.036666,NSE,fraudulent,0.3058245775708643,High,Low,Unverified
ann_0016,Bharti Airtel,Company receives regulatory approval for research project,2025-08-22 22:18:50.036675,News Portal,legitimate,0.7098783975866765,Medium,High,Verified
ann_0017,Kotak Mahindra Bank,Board recommends final dividend of ₹36 per share,2025-08-01 22:18:50.036684,NSE,legitimate,0.9034823593720251,High,High,Verified
ann_0018,HDFC Bank,Company receives regulatory approval for expansion project,2025-06-09 22:18:50.036693,Company Website,legitimate,0.8939219766539015,High,High,Verified
ann_0019,Infosys,Company signs MoU with Amazon for strategic collaboration,2025-08-17 22:18:50.036702,BSE,legitimate,0.7492544621377409,Medium,High,Verified
ann_0020,ITC,Company launches new product line for retail market,2025-09-04 22:18:50.036711,PR Agency,legitimate,0.7750756911249427,Low,High,Verified
ann_0021,Maruti Suzuki,Board approves bonus issue in ratio 1:1,2025-06-26 22:18:50.036720,Company Website,legitimate,0.7052556604456834,High,High,Verified
ann_0022,Kotak Mahindra Bank,Dividend of ₹9 per share declared for shareholders,2025-09-03 22:18:50.036729,BSE,legitimate,0.7668696775758791,High,High,Verified
ann_0023,Reliance Industries,Company receives regulatory approval for expansion project,2025-08-19 22:18:50.036737,NSE,legitimate,0.8114665088366627,High,High,Verified
ann_0024,HDFC,Board recommends final dividend of ₹29 per share,2025-07-28 22:18:50.036746,PR Agency,legitimate,0.74674829590161,High,High,Verified
ann_0025,Wipro,Company signs MoU with IBM for strategic collaboration,2025-07-18 22:18:50.036755,Company Website,legitimate,0.820316593976806,Medium,High,Verified
ann_0026,Wipro,Rights issue approved by board at ₹495 per share,2025-08-21 22:18:50.036765,PR Agency,legitimate,0.7003864364821117,Low,High,Verified
ann_0027,Titan Company,Merger with Tesla confirmed - stock to increase 1000%,2025-08-30 22:18:50.036777,News Portal,fraudulent,0.35624576664873053,Medium,Low,Unverified
ann_0028,HDFC,Company launches new product line for healthcare market,2025-08-27 22:18:50.036786,BSE,legitimate,0.7786833374400579,Medium,High,Verified
ann_0029,Maruti Suzuki,Company signs MoU with Google for strategic collaboration,2025-08-18 22:18:50.036795,BSE,legitimate,0.9415562257645305,Low,High,Verified
ann_0030,Titan Company,Dividend of ₹37 per share declared for shareholders,2025-06-18 22:18:50.036804,NSE,legitimate,0.9251721662017025,Low,High,Verified
ann_0031,Kotak Mahindra Bank,Annual general meeting scheduled for 2025-09-11,2025-07-12 22:18:50.036812,PR Agency,legitimate,0.9341120021766003,High,High,Verified
ann_0032,TCS,Board approves bonus issue in ratio 1:1,2025-08-01 22:18:50.036821,PR Agency,legitimate,0.7650893881811479,Medium,High,Verified
ann_0033,TCS,Dividend of ₹42 per share declared for shareholders,2025-07-01 22:18:50.036830,News Portal,legitimate,0.754236280395391,Low,High,Verified
ann_0034,Titan Company,Company launches new product line for automobile market,2025-06-25 22:18:50.036839,BSE,legitimate,0.8978087112212959,Low,High,Verified
ann_0035,ITC,Company receives regulatory approval for research project,2025-06-21 22:18:50.036847,Company Website,legitimate,0.8070966760815824,Low,High,Verified
ann_0036,HDFC,Company receives regulatory approval for infrastructure project,2025-08-08 22:18:50.036855,BSE,legitimate,0.8511098106140305,Medium,High,Verified
ann_0037,Maruti Suzuki,URGENT: Stock split announced in ratio 10:1 effective immediately,2025-08-19 22:18:50.036863,BSE,fraudulent,0.19116892875982827,Low,Low,Unverified
ann_0038,ITC,Company launches new product line for retail market,2025-07-31 22:18:50.036871,Company Website,legitimate,0.7817603488032538,Low,High,Verified
ann_0039,Larsen & Toubro,Company signs MoU with IBM for strategic collaboration,2025-07-22 22:18:50.036880,Company Website,legitimate,0.9361049911711443,High,High,Verified
ann_0040,Larsen & Toubro,Board meeting scheduled to consider quarterly results on 2025-10-03,2025-08-04 22:18:50.036888,News Portal,legitimate,0.7501292623970788,Low,High,Verified
ann_0041,Reliance Industries,Dividend of ₹34 per share declared for shareholders,2025-09-02 22:18:50.036896,BSE,legitimate,0.8018007724610209,Low,High,Verified
ann_0042,ITC,Board recommends final dividend of ₹27 per share,2025-08-27 22:18:50.036904,News Portal,legitimate,0.7530472621218969,Medium,High,Verified
